,word,meaning,der
0,b'_',b'_',b'_'
1,b'claim',b'v. \xec\x9a\x94\xec\xb2\xad\xed\x95\x98\xeb\x8b\xa4 n. \xec\xb2\xad\xea\xb5\xac; \xec\xa3\xbc\xec\x9e\xa5',b'claim claims claiming claimed'
2,b'committed',b'adj. \xed\x97\x8c\xec\x8b\xa0\xec\xa0\x81\xec\x9d\xb8',b'commit commits committing committed'
3,b'consistency',"b'n. \xec\x9d\xbc\xea\xb4\x80\xec\x84\xb1, \xed\x95\x9c\xea\xb2\xb0\xea\xb0\x99\xec\x9d\x8c'",b'consistency consistencies consistencying consistencied'
4,b'cover',b'v. \xeb\x8b\xa4\xeb\xa3\xa8\xeb\x8b\xa4; \xeb\xb3\xb4\xec\x9e\xa5\xed\x95\x98\xeb\x8b\xa4',b'cover covers covering covered'
5,b'coverage',b'n. \xeb\xb2\x94\xec\x9c\x84; \xeb\xb3\xb4\xec\x83\x81',b'coverage coverages coveraging coveraged'
6,b'credit',"b'n. \xec\x8b\xa0\xec\x9a\xa9\xed\x8c\x90\xeb\xa7\xa4, \xec\x8b\xa0\xec\x9a\xa9 v. \xec\x9e\x85\xea\xb8\x88\xed\x95\x98\xeb\x8b\xa4'",b'credit credits crediting credited'
7,b'defect',b'n. \xea\xb2\xb0\xed\x95\xa8',b'defect defects defecting defected'
8,b'defective',b'adj. \xea\xb2\xb0\xed\x95\xa8 \xec\x9e\x88\xeb\x8a\x94',b'defective defectives defectiving defectived'
9,b'demand',b'v. \xec\x9a\x94\xea\xb5\xac\xed\x95\x98\xeb\x8b\xa4 n. \xec\x9a\x94\xea\xb5\xac; \xec\x88\x98\xec\x9a\x94',b'demand demands demanding demanded'
10,b'description',b'n. \xec\x84\xa4\xeb\xaa\x85(\xec\x84\x9c)',b'description descriptions descriptioning descriptioned'
11,b'eligibility',"b'n. \xec\xa0\x81\xea\xb2\xa9, \xec\x9e\x90\xea\xb2\xa9'",b'eligibility eligibilities eligibilitying eligibilitied'
12,b'exchange',b'v. \xea\xb5\x90\xed\x99\x98\xed\x95\x98\xeb\x8b\xa4',b'exchange exchanges exchanging exchanged'
13,b'expire',"b'v. \xeb\xa7\x8c\xeb\xa3\x8c\xeb\x90\x98\xeb\x8b\xa4, \xeb\xa7\x8c\xea\xb8\xb0\xeb\x90\x98\xeb\x8b\xa4'",b'expire expires expiring expired'
14,b'expiration',"b'n. \xeb\xa7\x8c\xeb\xa3\x8c, \xeb\xa7\x8c\xea\xb8\xb0, \xec\xa2\x85\xea\xb2\xb0'",b'expiration expirations expirationing expirationed'
15,b'flaw',"b'n. \xea\xb2\xb0\xec\xa0\x90, \xea\xb2\xb0\xed\x95\xa8'",b'flaw flaws flawing flawed'
16,b'guarantee',b'v. \xeb\xb3\xb4\xec\x9e\xa5\xed\x95\x98\xeb\x8b\xa4 n. \xed\x92\x88\xec\xa7\x88 \xeb\xb3\xb4\xec\xa6\x9d\xec\x84\x9c',b'guarantee guarantees guaranteeing guaranteed'
17,b'insurance',b'n. \xeb\xb3\xb4\xed\x97\x98(\xea\xb8\x88)',b'insurance insurances insurancing insuranced'
18,b'malfunction',"b'v. \xec\xa0\x9c\xeb\x8c\x80\xeb\xa1\x9c \xec\x9e\x91\xeb\x8f\x99\xed\x95\x98\xec\xa7\x80 \xec\x95\x8a\xeb\x8b\xa4 n. \xea\xb3\xa0\xec\x9e\xa5, \xea\xb8\xb0\xeb\x8a\xa5 \xeb\xb6\x88\xeb\x9f\x89'",b'malfunction malfunctions malfunctioning malfunctioned'
19,b'perfectly',b'adv. \xec\x99\x84\xeb\xb2\xbd\xed\x95\x98\xea\xb2\x8c',b'perfectly perfectlies perfectlying perfectlied'
20,b'period',b'n. \xea\xb8\xb0\xea\xb0\x84',b'period periods perioding perioded'
21,b'rebate',"b'n. (\xec\xb4\x88\xea\xb3\xbc \xec\xa7\x80\xeb\xb6\x88\xec\x97\x90 \xeb\x8c\x80\xed\x95\x9c) \xed\x99\x98\xeb\xb6\x88, \xed\x99\x98\xea\xb8\x89'",b'rebate rebates rebating rebated'
22,b'receipt',b'n. \xec\x98\x81\xec\x88\x98\xec\xa6\x9d',b'receipt receipts receipting receipted'
23,b'refund',b'v. \xed\x99\x98\xeb\xb6\x88\xed\x95\x98\xeb\x8b\xa4 n. \xed\x99\x98\xeb\xb6\x88(\xea\xb8\x88)',b'refund refunds refunding refunded'
24,b'registration',"b'n. \xeb\x93\xb1\xeb\xa1\x9d, \xec\x8b\xa0\xea\xb3\xa0'",b'registration registrations registrationing registrationed'
25,b'reliable',b'adj. \xeb\xaf\xbf\xec\x9d\x84 \xec\x88\x98 \xec\x9e\x88\xeb\x8a\x94',b'reliable reliables reliabling reliabled'
26,b'repair',"b'v. \xec\x88\x98\xeb\xa6\xac[\xeb\xb3\xb4\xec\x88\x98]\xed\x95\x98\xeb\x8b\xa4 n. \xec\x88\x98\xeb\xa6\xac, \xec\x88\x98\xec\x84\xa0'",b'repair repairs repairing repaired'
27,b'replacement',"b'n. \xea\xb5\x90\xec\xb2\xb4, \xea\xb5\x90\xed\x99\x98'",b'replacement replacements replacementing replacemented'
28,b'restock',b'v. \xeb\x8b\xa4\xec\x8b\x9c \xec\xb1\x84\xec\x9a\xb0\xeb\x8b\xa4[\xeb\xb3\xb4\xec\xb6\xa9\xed\x95\x98\xeb\x8b\xa4]',b'restock restocks restocking restocked'
29,b'retailer',"b'n. \xec\x86\x8c\xeb\xa7\xa4\xec\x97\x85\xec\xb2\xb4, \xec\x86\x8c\xeb\xa7\xa4\xec\x97\x85\xec\x9e\x90'",b'retailer retailers retailerring retailerred'
30,b'single',"b'adj. \xeb\x8b\xa8 \xed\x95\x98\xeb\x82\x98\xec\x9d\x98, \xeb\x8b\xa8\xec\x9d\xbc\xec\x9d\x98'",b'single singles singling singled'
31,b'solidify',"b'v. \xea\xb5\xb3\xed\x9e\x88\xeb\x8b\xa4, \xed\x99\x95\xea\xb3\xa0\xed\x9e\x88 \xed\x95\x98\xeb\x8b\xa4'",b'solidify solidifies solidifying solidified'
32,b'status',b'n. \xec\x83\x81\xed\x83\x9c; \xec\xa7\x80\xec\x9c\x84',b'statu status statuing statued'
33,b'unrivaled',b'adj. \xea\xb2\xbd\xec\x9f\x81\xec\x9e\x90\xea\xb0\x80 \xec\x97\x86\xeb\x8a\x94',b'unrivale unrivales unrivaling unrivaled'
